District	State	Pop11	Growth11	SR11	Lit11
Durg	Chhattisgarh	"3,343,872"	18.98%	988	79.06
Siwan	Bihar	"3,330,464"	22.70%	988	69.45
Nagaur	Rajasthan	"3,307,743"	19.20%	950	62.8
Thiruvananthapuram	Kerala	"3,301,427"	2.07%	1087	93.02
Ernakulam	Kerala	"3,282,388"	5.69%	1027	95.89
Indore	Madhya Pradesh	"3,276,697"	32.88%	928	80.87
Purnia	Bihar	"3,264,619"	28.33%	921	51.08
Barabanki	Uttar Pradesh	"3,260,699"	21.96%	910	61.75
Ballia	Uttar Pradesh	"3,239,774"	17.31%	937	70.94
Pratapgarh	Uttar Pradesh	"3,209,141"	17.50%	998	70.09
Thrissur	Kerala	"3,121,200"	4.94%	1108	95.08
Banaskantha	Gujarat	"3,120,506"	24.61%	938	65.32
Unnao	Uttar Pradesh	"3,108,367"	15.11%	907	66.37
Deoria	Uttar Pradesh	"3,100,946"	14.31%	1017	71.13
Kozhikode	Kerala	"3,086,293"	7.20%	1098	95.08
Mumbai City	Maharashtra	"3,085,411"	-7.57%	832	89.21
Tirunelveli	Tamil Nadu	"3,077,233"	12.97%	1023	82.5
Katihar	Bihar	"3,071,029"	28.35%	919	52.24
Udaipur	Rajasthan	"3,068,420"	23.69%	958	61.82
Madurai	Tamil Nadu	"3,038,252"	17.84%	990	83.45
Bhagalpur	Bihar	"3,037,766"	25.36%	880	63.14
Medak	Andhra Pradesh	"3,033,288"	13.60%	992	61.42
Uttar Dinajpur	West Bengal	"3,007,134"	23.15%	939	59.07
Shahjahanpur	Uttar Pradesh	"3,006,538"	18.00%	872	59.54
Satara	Maharashtra	"3,003,741"	6.93%	988	82.87
Mysore	Karnataka	"3,001,127"	13.63%	985	72.79
Begusarai	Bihar	"2,970,541"	26.44%	895	63.87
Sri Potti Sriramulu Nellore	Andhra Pradesh	"2,963,557"	11.05%	985	68.9
Rohtas	Bihar	"2,959,918"	20.78%	918	73.37
Puruliya	West Bengal	"2,930,115"	15.52%	957	64.48
Ranchi	Jharkhand	"2,914,253"	23.98%	949	76.06
Amravati	Maharashtra	"2,888,445"	10.79%	951	87.38
YSR	Andhra Pradesh	"2,882,469"	10.79%	985	67.3
Bhavnagar	Gujarat	"2,880,365"	16.63%	933	75.52
Nalanda	Bihar	"2,877,653"	21.39%	922	64.43
Nagaon	Assam	"2,823,768"	22.00%	962	72.37
Sangli	Maharashtra	"2,822,143"	9.24%	966	81.48
Koch Bihar	West Bengal	"2,819,086"	13.71%	942	74.78
Araria	Bihar	"2,811,569"	30.25%	921	53.53
Palakkad	Kerala	"2,809,934"	7.35%	1067	89.31
Khammam	Andhra Pradesh	"2,797,370"	8.47%	1011	64.81
Yavatmal	Maharashtra	"2,772,348"	12.78%	952	82.82
Junagadh	Gujarat	"2,743,082"	12.05%	953	75.8
Adilabad	Andhra Pradesh	"2,741,239"	10.18%	1001	61.01
South Delhi	Delhi	"2,731,929"	20.51%	862	86.57
Bhojpur	Bihar	"2,728,407"	21.63%	907	70.47
Tiruchirappalli	Tamil Nadu	"2,722,290"	12.57%	1013	83.23
Srikakulam	Andhra Pradesh	"2,703,114"	6.52%	1015	61.74
Maharajganj	Uttar Pradesh	"2,684,703"	23.50%	943	62.76
Dhanbad	Jharkhand	"2,684,487"	11.99%	909	74.52
Tumkur	Karnataka	"2,678,980"	3.65%	984	75.14
Sikar	Rajasthan	"2,677,333"	17.03%	947	71.91
Bilaspur	Chhattisgarh	"2,663,629"	33.29%	971	70.78
Kollam	Kerala	"2,635,375"	1.94%	1113	94.09
Raigarh	Maharashtra	"2,634,200"	19.31%	959	83.14
Fatehpur	Uttar Pradesh	"2,632,733"	14.05%	901	67.43
Cuttack	Orissa	"2,624,470"	12.10%	940	85.5
Cuddalore	Tamil Nadu	"2,605,914"	14.02%	987	78.04
Barmer	Rajasthan	"2,603,751"	32.52%	902	56.53
Buldana	Maharashtra	"2,586,258"	15.85%	934	83.4
Bid	Maharashtra	"2,585,049"	19.61%	916	76.99
Ajmer	Rajasthan	"2,583,052"	18.40%	951	69.33
Gulbarga	Karnataka	"2,566,326"	18.01%	971	64.85
Gopalganj	Bihar	"2,562,012"	19.02%	1021	65.47
Siddharth Nagar	Uttar Pradesh	"2,559,297"	25.45%	976	59.25
Nizamabad	Andhra Pradesh	"2,551,335"	8.77%	1040	61.25
Bharatpur	Rajasthan	"2,548,462"	21.29%	880	70.11
Mathura	Uttar Pradesh	"2,547,184"	22.78%	863	70.36
West Delhi	Delhi	"2,543,243"	19.46%	875	86.98
Aurangabad	Bihar	"2,540,073"	26.18%	926	70.32
Kannur	Kerala	"2,523,003"	4.73%	1136	95.1
Mayurbhanj	Orissa	"2,519,738"	13.33%	1006	63.17
Firozabad	Uttar Pradesh	"2,498,156"	21.69%	875	71.92
Mirzapur	Uttar Pradesh	"2,496,970"	18.00%	903	68.48
Amritsar	Punjab	"2,490,656"	0.00%	889	76.27
Tiruppur	Tamil Nadu	"2,479,052"	29.11%	989	78.68
Faizabad	Uttar Pradesh	"2,470,996"	18.29%	962	68.73
Tiruvannamalai	Tamil Nadu	"2,464,875"	12.75%	994	74.21
Basti	Uttar Pradesh	"2,464,464"	18.21%	963	67.22
Jabalpur	Madhya Pradesh	"2,463,289"	14.51%	929	81.07
Latur	Maharashtra	"2,454,196"	17.97%	928	77.26
Bellary	Karnataka	"2,452,595"	20.99%	983	67.43
Giridih	Jharkhand	"2,445,474"	28.41%	944	63.14
Sabarkantha	Gujarat	"2,428,589"	16.62%	952	75.79
Bhilwara	Rajasthan	"2,408,523"	19.60%	973	61.37
Thanjavur	Tamil Nadu	"2,405,890"	8.56%	1035	82.64
Ambedkar Nagar	Uttar Pradesh	"2,397,888"	18.30%	978	72.23
PanchMahal	Gujarat	"2,390,776"	18.05%	949	70.99
Sagar	Madhya Pradesh	"2,378,458"	17.63%	893	76.46
Bhopal	Madhya Pradesh	"2,371,061"	28.62%	918	80.37
Rewa	Madhya Pradesh	"2,365,106"	19.86%	931	71.62
Bikaner	Rajasthan	"2,363,937"	41.19%	905	65.13
Surguja	Chhattisgarh	"2,359,886"	19.66%	978	60.01
Vizianagaram	Andhra Pradesh	"2,344,474"	4.23%	1019	58.89
Rampur	Uttar Pradesh	"2,335,819"	21.42%	909	53.34
Baleshwar	Orissa	"2,320,529"	14.62%	957	79.79
Kheda	Gujarat	"2,299,885"	13.62%	940	82.65
Gurdaspur	Punjab	"2,298,323"	0.00%	895	79.95
Purbi Singhbhum	Jharkhand	"2,293,919"	15.68%	949	75.49
South West Delhi	Delhi	"2,292,958"	30.65%	840	88.28
Erode	Tamil Nadu	"2,251,744"	11.66%	993	72.58
Khordha	Orissa	"2,251,673"	19.94%	929	86.88
North East Delhi	Delhi	"2,241,624"	26.78%	886	83.09
Supaul	Bihar	"2,229,076"	28.66%	929	57.67
Satna	Madhya Pradesh	"2,228,935"	19.19%	926	72.26
Nawada	Bihar	"2,219,146"	22.63%	939	59.76
Mau	Uttar Pradesh	"2,205,968"	18.98%	979	73.09
Chandrapur	Maharashtra	"2,204,307"	6.43%	961	80.01
Jalandhar	Punjab	"2,193,590"	0.00%	915	82.48
Dhar	Madhya Pradesh	"2,185,793"	25.60%	964	59
Bijapur	Karnataka	"2,177,331"	20.50%	960	67.15
Jamnagar	Gujarat	"2,160,119"	13.44%	939	73.65
Dindigul	Tamil Nadu	"2,159,775"	12.31%	998	76.26
Balrampur	Uttar Pradesh	"2,148,665"	27.72%	928	49.51
Jhunjhunun	Rajasthan	"2,137,045"	11.67%	950	74.13
Alappuzha	Kerala	"2,127,789"	0.88%	1100	95.72
Dohad	Gujarat	"2,127,086"	29.98%	990	58.82
Sundargarh	Orissa	"2,093,437"	14.35%	973	73.34
Anand	Gujarat	"2,092,745"	12.70%	925	84.37
Kachchh	Gujarat	"2,092,371"	32.16%	908	70.59
Chhindwara	Madhya Pradesh	"2,090,922"	13.07%	964	71.16
Dakshina Kannada	Karnataka	"2,089,649"	10.11%	1020	88.57
Bokaro	Jharkhand	"2,062,330"	16.01%	922	72.01
Dhule	Maharashtra	"2,050,862"	20.08%	946	72.8
Churu	Rajasthan	"2,039,547"	6.01%	940	66.75
Pali	Rajasthan	"2,037,573"	11.94%	987	62.39
Mahesana	Gujarat	"2,035,064"	10.73%	926	83.61
Banka	Bihar	"2,034,763"	26.48%	907	58.17
Gwalior	Madhya Pradesh	"2,032,036"	24.50%	864	76.65
Pilibhit	Uttar Pradesh	"2,031,007"	23.45%	895	61.47
Firozpur	Punjab	"2,029,074"	0.00%	893	68.92
Madhepura	Bihar	"2,001,762"	31.12%	911	52.25
Jhansi	Uttar Pradesh	"1,998,603"	14.54%	890	75.05
Ujjain	Madhya Pradesh	"1,986,864"	16.12%	955	72.34
Kottayam	Kerala	"1,974,551"	1.07%	1039	97.21
Ganganagar	Rajasthan	"1,969,168"	10.04%	887	69.64
Morena	Madhya Pradesh	"1,965,970"	23.44%	840	71.03
Jalna	Maharashtra	"1,959,046"	21.46%	937	71.52
Chandauli	Uttar Pradesh	"1,952,756"	18.83%	918	71.48
Kota	Rajasthan	"1,951,014"	24.39%	911	76.56
Dhubri	Assam	"1,949,258"	24.44%	953	58.34
Davanagere	Karnataka	"1,945,497"	8.63%	972	75.74
Virudhunagar	Tamil Nadu	"1,942,288"	10.91%	1007	80.15
Palamu	Jharkhand	"1,939,869"	26.17%	928	63.63
Raichur	Karnataka	"1,928,812"	15.51%	1000	59.56
Sonitpur	Assam	"1,924,110"	15.55%	956	67.34
Saharsa	Bihar	"1,900,661"	26.02%	906	53.2
Patiala	Punjab	"1,895,686"	0.00%	891	75.28
Haridwar	Uttarakhand	"1,890,422"	30.63%	880	73.43
Bagalkot	Karnataka	"1,889,752"	14.40%	989	68.82
Farrukhabad	Uttar Pradesh	"1,885,204"	20.05%	874	69.04
Krishnagiri	Tamil Nadu	"1,879,809"	20.41%	958	71.46
West Nimar	Madhya Pradesh	"1,873,046"	22.85%	965	62.7
Kanniyakumari	Tamil Nadu	"1,870,374"	11.60%	1019	91.75
Mainpuri	Uttar Pradesh	"1,868,529"	17.02%	881	75.99
Sonbhadra	Uttar Pradesh	"1,862,559"	27.27%	918	64.03
Dharwad	Karnataka	"1,847,023"	15.13%	971	80
Darjiling	West Bengal	"1,846,823"	14.77%	970	79.56
Jyotiba Phule Nagar	Uttar Pradesh	"1,840,221"	22.76%	910	63.84
Parbhani	Maharashtra	"1,836,086"	20.19%	947	73.34
Jalor	Rajasthan	"1,828,730"	26.21%	952	54.86
Jajapur	Orissa	"1,827,192"	12.49%	973	80.13
Akola	Maharashtra	"1,813,906"	11.27%	946	88.05
Faridabad	Haryana	"1,809,733"	32.54%	873	81.7
Mandya	Karnataka	"1,805,769"	2.38%	995	70.4
Kendujhar	Orissa	"1,801,733"	15.35%	988	68.24
Banda	Uttar Pradesh	"1,799,410"	17.05%	863	66.67
Banswara	Rajasthan	"1,797,485"	26.53%	980	56.33
Ramabai Nagar	Uttar Pradesh	"1,796,184"	14.89%	865	75.78
Hassan	Karnataka	"1,776,421"	3.18%	1010	76.07
Hanumangarh	Rajasthan	"1,774,692"	16.91%	906	67.13
Etah	Uttar Pradesh	"1,774,480"	13.62%	873	70.81
Chhattarpur	Madhya Pradesh	"1,762,375"	19.51%	883	63.74
Jamui	Bihar	"1,760,405"	25.85%	922	59.79
Surendranagar	Gujarat	"1,756,268"	15.91%	930	72.13
Shimoga	Karnataka	"1,752,753"	6.71%	998	80.45
Thoothukkudi	Tamil Nadu	"1,750,176"	11.32%	1023	86.16
Hisar	Haryana	"1,743,931"	13.45%	872	72.89
Cachar	Assam	"1,736,617"	20.19%	959	79.34
Hazaribagh	Jharkhand	"1,734,495"	20.65%	947	69.75
Namakkal	Tamil Nadu	"1,726,601"	15.61%	986	74.63
Shivpuri	Madhya Pradesh	"1,726,050"	22.76%	877	62.55
West Tripura	Tripura	"1,725,739"	12.57%	962	88.69
Sant Kabir Nagar	Uttar Pradesh	"1,715,183"	20.77%	972	66.72
East Delhi	Delhi	"1,709,346"	16.79%	884	89.31
Buxar	Bihar	"1,706,352"	21.67%	922	70.14
Valsad	Gujarat	"1,705,678"	20.92%	922	78.55
Bidar	Karnataka	"1,703,300"	13.37%	956	70.51
Bhind	Madhya Pradesh	"1,703,005"	19.21%	837	75.26
Balaghat	Madhya Pradesh	"1,701,698"	13.60%	1021	77.09
Puri	Orissa	"1,698,730"	13.05%	963	84.67
Dehradun	Uttarakhand	"1,696,694"	32.33%	902	84.25
Barpeta	Assam	"1,693,622"	21.43%	953	63.81
Kishanganj	Bihar	"1,690,400"	30.40%	950	55.46
Jalaun	Uttar Pradesh	"1,689,974"	16.19%	865	73.75
Dakshin Dinajpur	West Bengal	"1,676,276"	11.52%	956	72.82
Khagaria	Bihar	"1,666,886"	30.19%	886	57.92
Chitradurga	Karnataka	"1,659,456"	9.33%	974	73.71
Osmanabad	Maharashtra	"1,657,576"	11.50%	924	78.44
Kannauj	Uttar Pradesh	"1,656,616"	19.27%	879	72.7
Sangrur	Punjab	"1,655,169"	0.00%	885	67.99
Balangir	Orissa	"1,648,997"	23.32%	987	64.72
Udham Singh Nagar	Uttarakhand	"1,648,902"	33.45%	920	73.1
Nandurbar	Maharashtra	"1,648,295"	25.66%	978	64.38
Gautam Buddha Nagar	Uttar Pradesh	"1,648,115"	37.11%	851	80.12
Bhiwani	Haryana	"1,634,445"	14.70%	886	75.21
Dausa	Rajasthan	"1,634,409"	24.09%	905	68.16
Kaimur	Bihar	"1,626,384"	26.17%	920	69.34
Janjgir Champa	Chhattisgarh	"1,619,707"	22.94%	986	73.07
Pudukkottai	Tamil Nadu	"1,618,345"	10.88%	1015	77.19
Nagapattinam	Tamil Nadu	"1,616,450"	8.57%	1025	83.59
Ratnagiri	Maharashtra	"1,615,069"	-4.82%	1122	82.18
Kaushambi	Uttar Pradesh	"1,599,596"	23.70%	908	61.28
Haveri	Karnataka	"1,597,668"	11.02%	950	77.4
Hoshiarpur	Punjab	"1,586,625"	0.00%	961	84.59
Etawah	Uttar Pradesh	"1,581,810"	18.15%	870	78.41
Sant Ravidas Nagar	Uttar Pradesh	"1,578,213"	16.58%	955	68.97
Kalahandi	Orissa	"1,576,869"	18.07%	1003	59.22
Betul	Madhya Pradesh	"1,575,362"	12.92%	971	68.9
Mahamaya Nagar	Uttar Pradesh	"1,564,708"	17.12%	871	71.59
Dewas	Madhya Pradesh	"1,563,715"	19.53%	942	69.35
Bharuch	Gujarat	"1,551,019"	13.16%	925	81.51
Rajgarh	Madhya Pradesh	"1,545,814"	23.26%	956	61.21
Chittaurgarh	Rajasthan	"1,544,338"	16.08%	972	61.71
Rajnandgaon	Chhattisgarh	"1,537,133"	19.79%	1015	75.96
Kolar	Karnataka	"1,536,401"	10.77%	979	74.39
Jammu	Jammu and Kashmir	"1,529,958"	12.74%	880	83.45
Kamrup	Assam	"1,517,542"	15.69%	949	75.55
Gurgaon	Haryana	"1,514,432"	73.96%	854	84.7
Amreli	Gujarat	"1,514,190"	8.63%	964	74.25
Shajapur	Madhya Pradesh	"1,512,681"	17.20%	938	69.09
Kangra	Himachal Pradesh	"1,510,075"	12.77%	1012	85.67
Dharmapuri	Tamil Nadu	"1,506,843"	16.34%	946	68.54
Bhadrak	Orissa	"1,506,337"	12.94%	981	82.78
Karnal	Haryana	"1,505,324"	18.14%	887	74.73
Pashchimi Singhbhum	Jharkhand	"1,502,338"	21.75%	1005	58.63
Raigarh	Chhattisgarh	"1,493,984"	18.05%	991	73.26
Deoghar	Jharkhand	"1,492,073"	28.03%	925	64.85
Bargarh	Orissa	"1,481,255"	10.02%	977	74.62
Vidisha	Madhya Pradesh	"1,458,875"	20.09%	896	70.53
Karauli	Rajasthan	"1,458,248"	20.55%	861	66.22
Ratlam	Madhya Pradesh	"1,455,069"	19.72%	971	66.78
Sonipat	Haryana	"1,450,001"	13.35%	856	79.12
Tikamgarh	Madhya Pradesh	"1,445,166"	20.13%	901	61.43
Kendrapara	Orissa	"1,440,361"	10.63%	1007	85.15
Uttara Kannada	Karnataka	"1,437,169"	6.17%	979	84.06
Kanshiram Nagar	Uttar Pradesh	"1,436,719"	16.93%	880	61.02
Tonk	Rajasthan	"1,421,326"	17.30%	952	61.58
Bastar	Chhattisgarh	"1,413,199"	17.96%	1023	54.4
Jhalawar	Rajasthan	"1,411,129"	19.55%	946	61.5
Gandhinagar	Gujarat	"1,391,753"	4.29%	923	84.16
Koppal	Karnataka	"1,389,920"	16.21%	986	68.09
Dungarpur	Rajasthan	"1,388,552"	25.36%	994	59.46
Bathinda	Punjab	"1,388,525"	0.00%	868	68.28
Barwani	Madhya Pradesh	"1,385,881"	27.57%	982	49.08
Koraput	Orissa	"1,379,647"	16.86%	1032	49.21
Auraiya	Uttar Pradesh	"1,379,545"	16.91%	864	78.95
Seoni	Madhya Pradesh	"1,379,131"	18.22%	982	72.12
Munger	Bihar	"1,367,765"	20.21%	876	70.46
Ramanathapuram	Tamil Nadu	"1,353,445"	13.96%	983	80.72
Patan	Gujarat	"1,343,734"	13.61%	935	72.3
Mandsaur	Madhya Pradesh	"1,340,411"	13.24%	963	71.78
Sivaganga	Tamil Nadu	"1,339,101"	15.90%	1003	79.85
Sawai Madhopur	Rajasthan	"1,335,551"	19.56%	897	65.39
Jind	Haryana	"1,334,152"	12.13%	871	71.44
Raisen	Madhya Pradesh	"1,331,597"	18.35%	901	72.98
Navsari	Gujarat	"1,329,672"	8.15%	961	83.88
Tinsukia	Assam	"1,327,929"	15.47%	952	69.66
Dibrugarh	Assam	"1,326,335"	11.92%	961	76.05
Garhwa	Jharkhand	"1,322,784"	27.75%	935	60.33
Gondiya	Maharashtra	"1,322,507"	10.14%	999	84.95
Dumka	Jharkhand	"1,321,442"	19.42%	977	61.02
Godda	Jharkhand	"1,313,551"	25.35%	938	56.4
Sehore	Madhya Pradesh	"1,311,332"	21.54%	918	70.06
East Nimar	Madhya Pradesh	"1,310,061"	21.50%	943	66.39
Kasaragod	Kerala	"1,307,375"	8.58%	1080	90.09
Baghpat	Uttar Pradesh	"1,303,048"	11.95%	861	72.01
Wardha	Maharashtra	"1,300,774"	5.18%	946	86.99
Sirsa	Haryana	"1,295,189"	15.99%	897	68.82
Katni	Madhya Pradesh	"1,292,042"	21.41%	952	71.98
Anugul	Orissa	"1,273,821"	11.74%	943	77.53
Thiruvarur	Tamil Nadu	"1,264,277"	8.11%	1017	82.86
Damoh	Madhya Pradesh	"1,264,219"	16.63%	910	69.73
Chikkaballapura	Karnataka	"1,255,104"	9.23%	972	69.76
Kamrup Metropolitan	Assam	"1,253,938"	18.34%	936	88.71
Theni	Tamil Nadu	"1,245,899"	13.89%	991	77.26
Guna	Madhya Pradesh	"1,241,519"	26.97%	912	63.23
Hoshangabad	Madhya Pradesh	"1,241,350"	14.49%	914	75.29
Srinagar	Jammu and Kashmir	"1,236,829"	20.35%	900	69.41
Karimganj	Assam	"1,228,686"	21.90%	963	78.22
Baran	Rajasthan	"1,222,755"	19.68%	929	66.66
Lalitpur	Uttar Pradesh	"1,221,592"	24.94%	906	63.52
Nabarangapur	Orissa	"1,220,946"	19.03%	1019	46.43
Yamunanagar	Haryana	"1,214,205"	16.57%	877	77.99
Korba	Chhattisgarh	"1,206,640"	19.25%	969	72.37
Dhaulpur	Rajasthan	"1,206,516"	22.71%	846	69.08
Panipat	Haryana	"1,205,437"	24.60%	864	75.94
Bhandara	Maharashtra	"1,200,334"	5.65%	982	83.76
Pathanamthitta	Kerala	"1,197,412"	-2.97%	1132	96.55
Washim	Maharashtra	"1,197,160"	17.34%	930	83.25
Dhenkanal	Orissa	"1,192,811"	11.80%	947	78.76
Singrauli	Madhya Pradesh	"1,178,273"	28.05%	920	60.41
Udupi	Karnataka	"1,177,361"	5.85%	1094	86.24
Hingoli	Maharashtra	"1,177,345"	19.27%	942	78.17
Yadgir	Karnataka	"1,174,271"	22.81%	989	51.83
Rajsamand	Rajasthan	"1,156,597"	17.18%	990	63.14
Sivasagar	Assam	"1,151,050"	9.44%	954	80.41
Sahibganj	Jharkhand	"1,150,567"	24.01%	952	52.04
Chikmagalur	Karnataka	"1,137,961"	-0.26%	1008	79.25
Jagatsinghapur	Orissa	"1,136,971"	7.50%	968	86.59
Ambala	Haryana	"1,128,350"	11.23%	885	81.75
Sidhi	Madhya Pradesh	"1,127,033"	23.72%	957	64.43
Jehanabad	Bihar	"1,125,313"	21.68%	922	66.8
Tarn Taran	Punjab	"1,119,627"	0.00%	900	67.81
Shrawasti	Uttar Pradesh	"1,117,361"	-5.02%	881	46.74
Bundi	Rajasthan	"1,110,906"	15.40%	925	61.52
Idukki	Kerala	"1,108,974"	-1.79%	1006	91.99
Hamirpur	Uttar Pradesh	"1,104,285"	5.80%	861	68.77
Jorhat	Assam	"1,092,256"	9.31%	962	82.15
Narsimhapur	Madhya Pradesh	"1,091,854"	14.01%	920	75.69
Mewat	Haryana	"1,089,263"	37.93%	907	54.08
Ramanagara	Karnataka	"1,082,636"	5.05%	976	69.22
Anantnag	Jammu and Kashmir	"1,078,692"	38.58%	927	62.69
